X,Y,Z,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,xcoord,ycoord
-102.3277359,31.87449837,0,myChevrolet1091,"Network ID: 02:92:A5:2F:75:67
Encryption: WPA3
Time: 2024-11-16T20:22:50.000-08:00
Signal: -98.0
Accuracy: 2.2
Type: WIFI",,,,,-1,0,-1,,,-102.3277359,31.87449837
-102.3207092,31.86916161,0,NandezCadi,"Network ID: 02:92:A5:D8:58:E5
Encryption: WPA2
Time: 2024-11-16T21:57:07.000-08:00
Signal: -97.0
Accuracy: 2.0
Type: WIFI",,,,,-1,0,-1,,,-102.3207092,31.86916161
-102.3246155,31.87233925,0,TEQUIDA WIFI,"Network ID: 02:AE:A8:BA:2C:76
Encryption: WPA2
Time: 2024-11-16T20:25:37.000-08:00
Signal: -88.0
Accuracy: 2.2
Type: WIFI",,,,,-1,0,-1,,,-102.3246155,31.87233925
-102.323349,31.8765049,0,EarthLink1521,"Network ID: 02:BA:7D:60:71:AA
Encryption: WPA2
Time: 2024-11-16T20:38:17.000-08:00
Signal: -66.0
Accuracy: 2.4
Type: WIFI",,,,,-1,0,-1,,,-102.323349,31.8765049
-102.3232117,31.87618828,0,EarthLink1521,"Network ID: 02:BA:7D:60:71:AB
Encryption: WPA2
Time: 2024-11-16T20:38:12.000-08:00
Signal: -78.0
Accuracy: 2.4
Type: WIFI",,,,,-1,0,-1,,,-102.3232117,31.87618828
-102.3241882,31.87878418,0,DIRECT-roku-011-10A98B,"Network ID: 02:BF:AF:53:56:B0
Encryption: WPA2
Time: 2024-11-16T20:52:47.000-08:00
Signal: -95.0
Accuracy: 5.7
Type: WIFI",,,,,-1,0,-1,,,-102.3241882,31.87878418
-102.319664,31.88058281,0,(no SSID),"Network ID: 02:BF:AF:A2:BF:EA
Encryption: WPA2
Time: 2024-11-16T21:09:58.000-08:00
Signal: -84.0
Accuracy: 2.2
Type: WIFI",,,,,-1,0,-1,,,-102.319664,31.88058281
-102.3234787,31.87952995,0,(no SSID),"Network ID: 02:BF:AF:F0:E7:05
Encryption: WPA2
Time: 2024-11-16T20:57:07.000-08:00
Signal: -87.0
Accuracy: 2.2
Type: WIFI",,,,,-1,0,-1,,,-102.3234787,31.87952995
-102.3189697,31.87643623,0,(no SSID),"Network ID: 02:EB:B6:74:81:7C
Encryption: WPA2
Time: 2024-11-16T21:36:59.000-08:00
Signal: -87.0
Accuracy: 2.7
Type: WIFI",,,,,-1,0,-1,,,-102.3189697,31.87643623
-102.3201447,31.87592125,0,Area51,"Network ID: 02:EC:DA:F5:88:CF
Encryption: WPA2
Time: 2024-11-16T21:43:17.000-08:00
Signal: -85.0
Accuracy: 2.3
Type: WIFI",,,,,-1,0,-1,,,-102.3201447,31.87592125
-102.3127747,31.87775803,0,DIRECT-roku-408-680490,"Network ID: 02:F4:8D:3E:A6:69
Encryption: WPA2
Time: 2024-11-16T21:22:29.000-08:00
Signal: -76.0
Accuracy: 2.2
Type: WIFI",,,,,-1,0,-1,,,-102.3127747,31.87775803
-102.3252258,31.87764359,0,Verizon_PN4C7V,"Network ID: 04:09:86:48:2C:9E
Encryption: WPA2
Time: 2024-11-16T20:48:38.000-08:00
Signal: -91.0
Accuracy: 2.4
Type: WIFI",,,,,-1,0,-1,,,-102.3252258,31.87764359
-102.3249588,31.87789536,0,Verizon_PN4C7V,"Network ID: 04:09:86:48:2C:9F
Encryption: WPA2
Time: 2024-11-16T20:50:06.000-08:00
Signal: -65.0
Accuracy: 2.1
Type: WIFI",,,,,-1,0,-1,,,-102.3249588,31.87789536
-102.3235626,31.87035751,0,(no SSID),"Network ID: 04:17:B6:3C:E2:85
Encryption: WPA2
Time: 2024-11-16T22:12:51.000-08:00
Signal: -95.0
Accuracy: 2.1
Type: WIFI",,,,,-1,0,-1,,,-102.3235626,31.87035751
-102.3253326,31.87019539,0,(no SSID),"Network ID: 04:17:B6:57:88:24
Encryption: WPA2
Time: 2024-11-16T22:09:55.000-08:00
Signal: -98.0
Accuracy: 2.1
Type: WIFI",,,,,-1,0,-1,,,-102.3253326,31.87019539
-102.3217926,31.87370682,0,NETGEAR84-5G,"Network ID: 04:A1:51:1A:6F:75
Encryption: WPA2
Time: 2024-11-16T20:26:38.000-08:00
Signal: -87.0
Accuracy: 1.8
Type: WIFI",,,,,-1,0,-1,,,-102.3217926,31.87370682
-102.3128128,31.87864876,0,NETGEAR16,"Network ID: 04:A1:51:2C:EC:BF
Encryption: WPA2
Time: 2024-11-16T21:17:30.000-08:00
Signal: -98.0
Accuracy: 2.2
Type: WIFI",,,,,-1,0,-1,,,-102.3128128,31.87864876
-102.3275299,31.87835503,0,Thought-5,"Network ID: 04:A1:51:34:61:CD
Encryption: WPA2
Time: 2024-11-16T20:44:29.000-08:00
Signal: -86.0
Accuracy: 2.4
Type: WIFI",,,,,-1,0,-1,,,-102.3275299,31.87835503
-102.3269501,31.87829399,0,Thought-2,"Network ID: 04:A1:51:34:61:CE
Encryption: WPA2
Time: 2024-11-16T20:44:39.000-08:00
Signal: -83.0
Accuracy: 2.5
Type: WIFI",,,,,-1,0,-1,,,-102.3269501,31.87829399
-102.3252258,31.87764359,0,(no SSID),"Network ID: 06:09:86:68:2C:9E
Encryption: WPA2
Time: 2024-11-16T20:48:38.000-08:00
Signal: -91.0
Accuracy: 2.4
Type: WIFI",,,,,-1,0,-1,,,-102.3252258,31.87764359
-102.3129196,31.87820816,0,(no SSID),"Network ID: 06:12:63:1B:38:36
Encryption: WPA2
Time: 2024-11-16T21:22:24.000-08:00
Signal: -83.0
Accuracy: 2.2
Type: WIFI",,,,,-1,0,-1,,,-102.3129196,31.87820816
-102.3170929,31.87818909,0,(no SSID),"Network ID: 06:12:63:2E:17:03
Encryption: WPA2
Time: 2024-11-16T21:25:05.000-08:00
Signal: -82.0
Accuracy: 2.5
Type: WIFI",,,,,-1,0,-1,,,-102.3170929,31.87818909
-102.3134995,31.87666512,0,ZMD_SAP,"Network ID: 06:39:26:A1:30:D0
Encryption: Unknown
Time: 2024-11-16T21:22:54.000-08:00
Signal: -79.0
Accuracy: 2.1
Type: WIFI",,,,,-1,0,-1,,,-102.3134995,31.87666512
-102.3184891,31.87329102,0,tl63f112-EXT,"Network ID: 06:6F:13:2C:1E:6B
Encryption: WPA2
Time: 2024-11-16T21:46:59.000-08:00
Signal: -96.0
Accuracy: 2.0
Type: WIFI",,,,,-1,0,-1,,,-102.3184891,31.87329102
-102.3229828,31.87655449,0,tleaf935-EXT,"Network ID: 06:8C:EB:4D:E3:C3
Encryption: WPA2
Time: 2024-11-16T21:40:21.000-08:00
Signal: -96.0
Accuracy: 2.4
Type: WIFI",,,,,-1,0,-1,,,-102.3229828,31.87655449
-102.3258972,31.87403297,0,tl821e97-EXT,"Network ID: 06:8C:EB:4D:FD:B3
Encryption: WPA2
Time: 2024-11-16T20:35:11.000-08:00
Signal: -81.0
Accuracy: 2.2
Type: WIFI",,,,,-1,0,-1,,,-102.3258972,31.87403297
-102.3296661,31.87538719,0,michealmyer2053,"Network ID: 06:93:97:12:04:D3
Encryption: WPA2
Time: 2024-11-16T22:06:30.000-08:00
Signal: -92.0
Accuracy: 2.0
Type: WIFI",,,,,-1,0,-1,,,-102.3296661,31.87538719
-102.322113,31.87248039,0,ATTCcYZa22,"Network ID: 06:93:97:21:66:F3
Encryption: WPA2
Time: 2024-11-16T20:30:39.000-08:00
Signal: -97.0
Accuracy: 2.2
Type: WIFI",,,,,-1,0,-1,,,-102.322113,31.87248039
-102.3131409,31.87885284,0,ATTfJaCsys,"Network ID: 06:93:97:23:98:43
Encryption: WPA2
Time: 2024-11-16T21:17:42.000-08:00
Signal: -88.0
Accuracy: 2.0
Type: WIFI",,,,,-1,0,-1,,,-102.3131409,31.87885284
-102.3134995,31.87666512,0,ATTStuUsys,"Network ID: 06:93:97:27:C1:53
Encryption: WPA2
Time: 2024-11-16T21:22:54.000-08:00
Signal: -90.0
Accuracy: 2.1
Type: WIFI",,,,,-1,0,-1,,,-102.3134995,31.87666512
-102.3190537,31.87778091,0,$1/minute,"Network ID: 06:93:97:29:1A:53
Encryption: WPA2
Time: 2024-11-16T21:35:48.000-08:00
Signal: -88.0
Accuracy: 2.5
Type: WIFI",,,,,-1,0,-1,,,-102.3190537,31.87778091
-102.3178024,31.87807083,0,ATTAK6q7Ea,"Network ID: 06:93:97:36:58:D3
Encryption: WPA2
Time: 2024-11-16T21:35:26.000-08:00
Signal: -88.0
Accuracy: 2.4
Type: WIFI",,,,,-1,0,-1,,,-102.3178024,31.87807083
